Type,Disease,Growth Stage,Fertilizer,Quantity,Frequency,Notes,Soil Type,Weather
Fruit,Scab,Vegetative,NPK Mixture,9g,Monthly,Clean fallen fruits,Sandy,Rainy season
Leaf,Healthy,Vegetative,Bio Fertilizer,29ml,Monthly,Ensure proper drainage,Clay,Rainy season
Fruit,Rust,Seedling,NPK Mixture,19g,Monthly,Clean fallen fruits,Loam,Rainy season
Fruit,Styler End Rot,Fruiting,MOP,12g,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,39ml,Bi-Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Scab,Vegetative,NPK Mixture,24g,Monthly,Ensure proper drainage,Loam,Rainy season
Fruit,Soft Rot,Seedling,Organic Compost,331g,Monthly,Clean fallen fruits,Sandy,Rainy season
Leaf,Scab,Seedling,NPK Mixture,24g,Monthly,Ensure proper drainage,Sandy,Rainy season
Fruit,Styler End Rot,Fruiting,MOP,22g,Bi-Weekly,Avoid wetting leaves,Sandy,Dry season
Fruit,Scab,Fruiting,NPK Mixture,20g,Bi-Weekly,Clean fallen fruits,Loam,Both
Fruit,Styler End Rot,Fruiting,MOP,13g,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Anthracnose,Fruiting,NPK Mixture,24g,Bi-Weekly,Ensure proper drainage,Not sure,Dry season
Leaf,Healthy,Vegetative,Farmyard Manure,153g,Monthly,Mix lightly into topsoil,Loam,Dry season
Fruit,Healthy,Vegetative,Urea,13g,Weekly,Clean fallen fruits,Loam,Both
Fruit,Rust,Vegetative,NPK Mixture,12g,Monthly,Ensure proper drainage,Loam,Dry season
Fruit,Soft Rot,Flowering,Organic Compost,312g,Bi-Weekly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Anthracnose,Vegetative,NPK Mixture,15g,Bi-Weekly,Clean fallen fruits,Not sure,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,25ml,Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Algal leaf spot,Seedling,NPK Mixture,10g,Monthly,Mix lightly into topsoil,Sandy,Both
Fruit,Soft Rot,Seedling,Organic Compost,341g,Monthly,Apply after irrigation,Sandy,Rainy season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,38ml,Monthly,Ensure proper drainage,Not sure,Both
Leaf,Rust,Seedling,NPK Mixture,14g,Monthly,Apply after irrigation,Not sure,Rainy season
Leaf,Soft Rot,Vegetative,Organic Compost,273g,Bi-Weekly,Clean fallen fruits,Sandy,Dry season
Leaf,Rust,Flowering,NPK Mixture,20g,Bi-Weekly,Mix lightly into topsoil,Not sure,Dry season
Leaf,Rust,Fruiting,NPK Mixture,13g,Bi-Weekly,Apply after irrigation,Loam,Rainy season
Leaf,Healthy,Seedling,Organic Compost,304g,Monthly,Avoid wetting leaves,Sandy,Rainy season
Leaf,Healthy,Flowering,TSP,23g,Bi-Weekly,Ensure proper drainage,Not sure,Rainy season
Fruit,Styler End Rot,Seedling,Organic Compost,218g,Monthly,Ensure proper drainage,Sandy,Both
Leaf,Healthy,Fruiting,MOP,25g,Bi-Weekly,Apply after irrigation,Sandy,Rainy season
Fruit,Styler End Rot,Vegetative,Bio Fertilizer,22ml,Bi-Weekly,Clean fallen fruits,Loam,Both
Leaf,Healthy,Vegetative,Bio Fertilizer,27ml,Monthly,Clean fallen fruits,Clay,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,16g,Bi-Weekly,Avoid excess watering,Not sure,Both
Leaf,Soft Rot,Flowering,Organic Compost,313g,Weekly,Ensure proper drainage,Loam,Rainy season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,28ml,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Fruit,Rust,Fruiting,NPK Mixture,13g,Bi-Weekly,Ensure proper drainage,Sandy,Rainy season
Fruit,Rust,Flowering,NPK Mixture,8g,Monthly,Avoid excess watering,Clay,Both
Leaf,Scab,Vegetative,NPK Mixture,10g,Bi-Weekly,Ensure proper drainage,Loam,Dry season
Fruit,Healthy,Seedling,Organic Compost,234g,Monthly,Ensure proper drainage,Clay,Rainy season
Leaf,Anthracnose,Seedling,NPK Mixture,11g,Monthly,Avoid wetting leaves,Clay,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,11g,Weekly,Avoid excess watering,Sandy,Rainy season
Leaf,Anthracnose,Flowering,NPK Mixture,12g,Weekly,Avoid excess watering,Not sure,Both
Fruit,Styler End Rot,Fruiting,MOP,25g,Bi-Weekly,Clean fallen fruits,Clay,Both
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,37ml,Bi-Weekly,Clean fallen fruits,Clay,Rainy season
Leaf,Algal leaf spot,Seedling,NPK Mixture,9g,Monthly,Avoid wetting leaves,Loam,Rainy season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,25g,Weekly,Mix lightly into topsoil,Loam,Dry season
Leaf,Soft Rot,Fruiting,Organic Compost,338g,Bi-Weekly,Clean fallen fruits,Sandy,Dry season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,34ml,Monthly,Apply after irrigation,Not sure,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,17g,Bi-Weekly,Ensure proper drainage,Clay,Both
Leaf,Rust,Flowering,NPK Mixture,14g,Weekly,Apply after irrigation,Sandy,Both
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,34ml,Weekly,Mix lightly into topsoil,Sandy,Rainy season
Leaf,Scab,Seedling,NPK Mixture,25g,Monthly,Avoid excess watering,Clay,Dry season
Leaf,Scab,Seedling,NPK Mixture,20g,Monthly,Avoid excess watering,Not sure,Both
Leaf,Healthy,Seedling,Organic Compost,284g,Monthly,Apply after irrigation,Clay,Rainy season
Fruit,Styler End Rot,Seedling,Organic Compost,315g,Monthly,Apply after irrigation,Clay,Dry season
Fruit,Healthy,Seedling,Organic Compost,295g,Monthly,Clean fallen fruits,Loam,Rainy season
Leaf,Soft Rot,Fruiting,Organic Compost,229g,Bi-Weekly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,28ml,Weekly,Avoid excess watering,Loam,Both
Leaf,Scab,Seedling,NPK Mixture,20g,Monthly,Clean fallen fruits,Sandy,Dry season
Leaf,Healthy,Flowering,TSP,24g,Bi-Weekly,Ensure proper drainage,Clay,Dry season
Fruit,Healthy,Seedling,Organic Compost,316g,Monthly,Apply after irrigation,Loam,Rainy season
Leaf,Soft Rot,Flowering,Organic Compost,201g,Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Scab,Fruiting,NPK Mixture,20g,Bi-Weekly,Avoid wetting leaves,Loam,Rainy season
Fruit,Healthy,Fruiting,MOP,15g,Bi-Weekly,Ensure proper drainage,Sandy,Rainy season
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,27ml,Bi-Weekly,Apply after irrigation,Clay,Dry season
Leaf,Rust,Vegetative,NPK Mixture,19g,Monthly,Avoid excess watering,Not sure,Rainy season
Fruit,Rust,Seedling,NPK Mixture,15g,Monthly,Apply after irrigation,Loam,Rainy season
Leaf,Healthy,Fruiting,MOP,16g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Leaf,Styler End Rot,Fruiting,MOP,10g,Bi-Weekly,Avoid wetting leaves,Not sure,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,27ml,Bi-Weekly,Ensure proper drainage,Loam,Both
Fruit,Rust,Fruiting,NPK Mixture,18g,Bi-Weekly,Clean fallen fruits,Loam,Dry season
Leaf,Styler End Rot,Seedling,Organic Compost,312g,Monthly,Apply after irrigation,Not sure,Both
Fruit,Healthy,Fruiting,MOP,23g,Bi-Weekly,Apply after irrigation,Clay,Both
Leaf,Algal leaf spot,Flowering,NPK Mixture,11g,Monthly,Avoid wetting leaves,Clay,Dry season
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,20ml,Bi-Weekly,Clean fallen fruits,Loam,Dry season
Leaf,Anthracnose,Seedling,NPK Mixture,13g,Monthly,Apply after irrigation,Clay,Both
Fruit,Anthracnose,Vegetative,NPK Mixture,21g,Weekly,Ensure proper drainage,Sandy,Both
Fruit,Healthy,Flowering,TSP,19g,Weekly,Apply after irrigation,Loam,Both
Leaf,Anthracnose,Seedling,NPK Mixture,8g,Monthly,Mix lightly into topsoil,Loam,Rainy season
Leaf,Healthy,Vegetative,Bio Fertilizer,29ml,Bi-Weekly,Avoid wetting leaves,Not sure,Both
Fruit,Scab,Flowering,NPK Mixture,12g,Monthly,Apply after irrigation,Loam,Both
Leaf,Rust,Vegetative,NPK Mixture,22g,Bi-Weekly,Ensure proper drainage,Loam,Dry season
Leaf,Anthracnose,Fruiting,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Fruit,Healthy,Flowering,TSP,14g,Monthly,Avoid excess watering,Sandy,Dry season
Leaf,Soft Rot,Fruiting,Organic Compost,166g,Bi-Weekly,Clean fallen fruits,Not sure,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,14g,Bi-Weekly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,265g,Monthly,Clean fallen fruits,Not sure,Dry season
Leaf,Scab,Vegetative,NPK Mixture,13g,Bi-Weekly,Avoid wetting leaves,Clay,Both
Leaf,Soft Rot,Vegetative,Organic Compost,237g,Weekly,Avoid wetting leaves,Sandy,Dry season
Fruit,Anthracnose,Seedling,NPK Mixture,22g,Monthly,Avoid excess watering,Sandy,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,23ml,Weekly,Avoid wetting leaves,Loam,Rainy season
Fruit,Anthracnose,Vegetative,NPK Mixture,10g,Monthly,Clean fallen fruits,Sandy,Both
Fruit,Styler End Rot,Seedling,Organic Compost,332g,Monthly,Apply after irrigation,Not sure,Dry season
Leaf,Algal leaf spot,Fruiting,NPK Mixture,15g,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Fruit,Scab,Fruiting,NPK Mixture,23g,Bi-Weekly,Ensure proper drainage,Clay,Both
Fruit,Scab,Fruiting,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Clay,Rainy season
Leaf,Rust,Fruiting,NPK Mixture,22g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Leaf,Algal leaf spot,Vegetative,NPK Mixture,16g,Monthly,Avoid excess watering,Clay,Rainy season
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,36ml,Bi-Weekly,Apply after irrigation,Not sure,Both
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,26ml,Bi-Weekly,Ensure proper drainage,Sandy,Both
Fruit,Algal leaf spot,Fruiting,NPK Mixture,20g,Bi-Weekly,Ensure proper drainage,Not sure,Dry season
Fruit,Scab,Flowering,NPK Mixture,21g,Monthly,Avoid excess watering,Clay,Both
Fruit,Rust,Fruiting,NPK Mixture,11g,Bi-Weekly,Apply after irrigation,Not sure,Both
Fruit,Scab,Seedling,NPK Mixture,13g,Monthly,Apply after irrigation,Sandy,Rainy season
Fruit,Rust,Vegetative,NPK Mixture,12g,Bi-Weekly,Clean fallen fruits,Sandy,Rainy season
Leaf,Rust,Fruiting,NPK Mixture,17g,Bi-Weekly,Clean fallen fruits,Sandy,Both
Fruit,Anthracnose,Vegetative,NPK Mixture,8g,Monthly,Ensure proper drainage,Not sure,Both
Fruit,Algal leaf spot,Fruiting,NPK Mixture,16g,Bi-Weekly,Apply after irrigation,Sandy,Dry season
Fruit,Healthy,Fruiting,MOP,16g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,238g,Monthly,Avoid excess watering,Loam,Rainy season
Leaf,Anthracnose,Seedling,NPK Mixture,19g,Monthly,Ensure proper drainage,Not sure,Dry season
Leaf,Algal leaf spot,Vegetative,NPK Mixture,25g,Bi-Weekly,Apply after irrigation,Not sure,Both
Leaf,Rust,Seedling,NPK Mixture,16g,Monthly,Avoid wetting leaves,Loam,Both
Leaf,Rust,Seedling,NPK Mixture,14g,Monthly,Mix lightly into topsoil,Not sure,Rainy season
Fruit,Rust,Vegetative,NPK Mixture,8g,Weekly,Avoid wetting leaves,Clay,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,17g,Monthly,Ensure proper drainage,Loam,Dry season
Fruit,Styler End Rot,Seedling,Organic Compost,162g,Monthly,Apply after irrigation,Loam,Both
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,30ml,Monthly,Avoid wetting leaves,Not sure,Dry season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,37ml,Monthly,Clean fallen fruits,Not sure,Dry season
Fruit,Styler End Rot,Fruiting,MOP,20g,Bi-Weekly,Clean fallen fruits,Sandy,Both
